Timestamp,How many years of experience do you have developing ROS-based systems?,How many ROS packages have you contributed to in your career?,What is your primary motivation for working with ROS?,Motivation_coded,"In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G1 - Expose a single ROS node with interfaces for third-party users for the most common use cases]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G2 - Design ROS nodes to be as hardware-independent as possible]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G3 - Decouple ROS nodes from variations in the execution environment]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G4 - Identify variation points of the system in advance, and design the system so that it can be extended by third-party users without modifying its core nodes]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G5 - Take into account that the data exchanged between nodes of the system may not be fully compatible (semantically), incorrect, out-of-order, or redundant]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G6 - By design, limit unnecessary computationally-heavy operations by carefully analyzing the execution scenarios of the system]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G7 - Use a dedicated node to store and represent globally-relevant data (e.g., the physical environment where the system operates) and use it as the single source of truth for all the other nodes in the system]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G8 - If context-specific configuration is needed at run-time (e.g., the available hardware capabilities), then persist this configuration in a dedicated node to avoid having to recalculate it at run-time]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G9 - Decouple nodes with responsibilities that naturally work at different rates and use different rates for different purposes]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G10 - For real-time requirements, collect timestamps from as many sources as possible (i.e., do not rely on ROS-based timestamps only)]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G11 - Publish empty messages when triggering atomic actions]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G12 - Nodes that potentially produce/consume large amounts of messages should be configurable in terms of their publish/subscribe rates]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G13 - Selectively limit the data exchanged between nodes to provide only the information that is strictly necessary for completing tasks]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G14 - Use different communication channels depending on the criticality and real-time needs of the nodes]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G15 - Provide at least one globally-reachable node capable of receiving run-stop messages and stopping/resetting the whole system]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G16 - Nodes interacting with simulation or physical platforms should implement identical ROS messaging interfaces]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G17 - Use standard ROS message formats as much as possible, possibly supporting also their legacy versions]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G18 - Each ROS package should be responsible for one and only one specific feature of the system or robot capability and provide a well-defined interface for it]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G19 - If the system is remotely distributed, constantly observe the status of the communication channels, hosts, and machines on the network]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G20 - The spinning rate for nodes should be configurable so that they can operate according to available computational resources]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G21 - The interface of nodes responsible for state estimation should (i) support an arbitrary number and different types of sensors and (ii) be able to combine the information provided by the sensors]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G22 - State estimation nodes should be resilient with respect to the amount and frequency of the data received by the sensors]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G23 - Include data- and node-health information in messages containing critical data (e.g., strength of GPS signal)]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G24 - Use services when starting up robots, instead of publishing to topics]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G25 - Provide dedicated nodes for doing introspection and querying the lower levels of the system]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G26 - Systems interacting with other non-ROS systems should provide two types of interfaces: a ROS-independent interface for the external systems and a ROS-based interface for ROS tools such as Rviz, Qt, etc.]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G27 - Avoid persisting raw data (e.g., a full resolution video) if only part of it will be used]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G28 - If different types of data are always sent/received together and must be synchronized, then package them into a single message]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G29 - Each single node should also be runnable in isolation]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G30 - The behavior of each node should follow a well-defined lifecyle, which should be queryable and updatable at run-time]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G31 - If a node is stateful and its behavior strongly depends on the time and order of arrival of messages, specify the protocol of the messages expected by the node]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G32 - ROS nodes must be stateless and their behaviour should not depend on previous operations or received messages]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G33 - Transform data only when it is used]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G34 - Assign meaningful names to components (e.g., nodes, topics, messages, services) and group them by adopting standard prefixes/suffixes]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G35 - When possible, core algorithms, libraries, and other generic software components should be ROS-agnostic]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G36 - Pay special attention to race conditions when persisting data received from other ROS nodes within the system]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G37 - Use a dedicated node for persisting and querying long-term data and short-term data (e.g., in the order of seconds)]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G38 - ROS nodes should be agnostic of the underlying communication mechanisms (e.g., network protocols, deployment topology, etc.)]","In your last ROS-based project, how useful would each of the following 39 guidelines for architecting ROS-based systems have been? [G39 - Group nodes and interfaces into cohesive sets, each of them with its own responsibilities and well-defined dependencies]","From your experience, are there any guidelines in addition to those in the previous question that ROS-based developers should know?",FRAGMENTS_CODES,Additional_guidelines_coded,Description of added guidelines,What are the top-3 quality requirements you considered when working on your last ROS-based system?,Quality_attributes_coded,Do you have any final comments or suggestions?,Relevant_suggestions,Your e-mail address,Documented SA?,Why no documentation?,No_documentation_codes,Reflections on No Documentation
16/09/2019 11:18:30,2,Between 2 and 5,I develop ROS-based systems for a company,C,NOT useful,Absolutely useful,Absolutely useful,Useful,NOT useful,Absolutely useful,Absolutely useful,Useful,Absolutely useful,Useful,Useful,Absolutely useful,Useful,Absolutely useful,Absolutely useful,Absolutely useful,NOT useful,Useful,Absolutely useful,Absolutely useful,Absolutely useful,Useful,Absolutely useful,Absolutely useful,Useful,Absolutely useful,Useful,Absolutely useful,Useful,Useful,Don't know,Useful,Absolutely useful,Absolutely useful,Absolutely useful,Useful,Absolutely useful,Absolutely useful,Absolutely useful,,,,," performance, maintainability, reliability","Performance,Maintainability,Reliability","Thank you for your effort, the ROS eco-system is in dire need for better guidelines with the Wiki being a total mess. Much appreciated. Would also be interesting to have some guidelines on sharing data between nodes (e.g. in-memory sharing in-between nodelets).",Good for quoting in the paper,ANONYMIZED,Yes,,,
16/09/2019 11:20:31,5,Between 2 and 5,I develop ROS-based systems for a company,C,Useful,Absolutely useful,Useful,Absolutely useful,Useful,Absolutely useful,Useful,Absolutely useful,Absolutely useful,Absolutely useful,Absolutely NOT useful,Absolutely useful,Useful,Absolutely useful,Absolutely NOT useful,Absolutely useful,Useful,Absolutely NOT useful,Useful,Absolutely useful,Useful,Absolutely useful,NOT useful,Useful,Useful,Absolutely useful,Useful,Absolutely useful,Useful,Useful,NOT useful,Absolutely useful,Absolutely useful,Absolutely useful,Absolutely useful,Useful,NOT useful,Absolutely useful,Useful,,,,,"maintainability, usability, testability","Maintainability,Usability",,,ANONYMIZED,Yes,,,
16/09/2019 11:26:01,6,More than 10,I develop ROS-based systems for academic purposes,A,Useful,Absolutely useful,Useful,Useful,Useful,Absolutely useful,Absolutely useful,Useful,NOT useful,Don't know,Absolutely useful,Absolutely NOT useful,Absolutely NOT useful,Absolutely NOT useful,Useful,Absolutely useful,Absolutely useful,Absolutely useful,Useful,Absolutely NOT useful,NOT useful,Absolutely useful,Useful,NOT useful,NOT useful,Absolutely useful,Absolutely useful,Absolutely useful,Don't know,Absolutely useful,Absolutely useful,Useful,NOT useful,Absolutely useful,Absolutely useful,Useful,Useful,Absolutely useful,Absolutely useful,,,,,"maintainability, reliability, portability","Maintainability,Reliability,Portability",,,ANONYMIZED,Yes,,,
16/09/2019 11:30:51,5,Between 2 and 5,I develop ROS-based systems for a company,C,Useful,Absolutely useful,Useful,NOT useful,Useful,Absolutely useful,Useful,Useful,Useful,Absolutely useful,Useful,Useful,Useful,Absolutely useful,Useful,Useful,Absolutely useful,Absolutely useful,Absolutely useful,Useful,Useful,Useful,Absolutely useful,Absolutely useful,Useful,Useful,NOT useful,Absolutely useful,Absolutely useful,Absolutely useful,Absolutely useful,Don't know,Absolutely useful,Useful,Absolutely useful,Absolutely useful,Absolutely useful,Useful,Absolutely useful,,,,,"Performance, security and safety","Performance,Security,Safety",,,ANONYMIZED,Yes,,,
16/09/2019 11:33:29,2,Between 2 and 5,I develop ROS-based systems for academic purposes,A,Useful,Useful,Useful,Useful,Don't know,Useful,Don't know,Don't know,Useful,Don't know,Don't know,Useful,Don't know,Don't know,Useful,Absolutely useful,Useful,Don't know,Don't know,Don't know,Don't know,Don't know,Useful,Don't know,Don't know,Don't know,Useful,Useful,NOT useful,Don't know,Don't know,Don't know,Useful,Absolutely useful,Useful,Useful,Don't know,Don't know,Useful,,,,,"compatibility, usability, maintainability","Compatibility,Usability,Maintainability",,,ANONYMIZED,Yes,,,
16/09/2019 11:34:20,5,More than 10,I develop ROS-based systems for a company,C,Useful,NOT useful,NOT useful,Useful,NOT useful,Absolutely useful,Absolutely NOT useful,Absolutely NOT useful,Absolutely NOT useful,Useful,Absolutely NOT useful,Useful,Absolutely useful,Absolutely useful,NOT useful,Absolutely useful,Useful,Absolutely useful,Absolutely useful,NOT useful,Absolutely NOT useful,Useful,Absolutely useful,Absolutely useful,NOT useful,Absolutely useful,Absolutely NOT useful,Absolutely useful,Useful,NOT useful,Absolutely useful,Useful,Useful,Absolutely useful,Absolutely useful,Absolutely useful,NOT useful,Absolutely useful,Absolutely useful,Reduce system complexity. Most ROS systems have way to many independent nodes with messages going back and forth in order to support theoretical use cases you never see in practice. Writing simple code to solve your actual problem is better than writing complicated code with complicated configuration to try and solve all problems (which won't work anyway).,[reduce complexity][overhead for suppoorting theoretical use cases],G40,Keep the number of nodes as low as possible to support the basic execution scenarios and then extend the architecture for managing corner cases  ,"safety, maintainability, performance","Safety,Maintainability,Performance","Honestly, don't use ROS in industrial settings. I haven't tried ROS2 yet, but ROS1 has way too many pitfalls.",ROS 2,ANONYMIZED,Yes,,,
16/09/2019 11:38:56,3,Between 6 and 10,I develop ROS-based systems for a company,C,Useful,Useful,Useful,Absolutely useful,Don't know,Absolutely useful,NOT useful,Useful,Absolutely useful,Useful,NOT useful,Absolutely useful,Absolutely useful,Absolutely useful,Don't know,Absolutely useful,Useful,Absolutely useful,Absolutely useful,Absolutely useful,Absolutely useful,Absolutely useful,Absolutely useful,Don't know,Useful,Absolutely useful,Absolutely useful,Useful,NOT useful,Don't know,Useful,Absolutely useful,Absolutely useful,Absolutely useful,Absolutely useful,Absolutely useful,NOT useful,Absolutely useful,NOT useful,,,,,"performance, maintainability, reliability","Performance,Maintainability,Reliability",,,ANONYMIZED,Yes,,,
16/09/2019 11:42:42,8,More than 10,Both academic and company,"A,C",Absolutely useful,Absolutely useful,Useful,Useful,Absolutely useful,Useful,Useful,NOT useful,Useful,NOT useful,Useful,Useful,Useful,Useful,NOT useful,Absolutely useful,Absolutely useful,Useful,Useful,NOT useful,Useful,Absolutely useful,Useful,Absolutely useful,Useful,Absolutely useful,Useful,Absolutely useful,Absolutely useful,Useful,Absolutely useful,Absolutely NOT useful,NOT useful,Absolutely useful,Absolutely useful,Useful,Useful,Absolutely useful,Useful,,,,,"usability, reliability, compatibility","Usability,Reliability,Compatibility",,,ANONYMIZED,Yes,,,
16/09/2019 11:45:08,5,Between 2 and 5,I develop ROS-based systems for a company,C,Useful,Useful,Useful,Useful,NOT useful,NOT useful,NOT useful,NOT useful,Useful,NOT useful,NOT useful,Useful,Useful,Absolutely useful,Useful,Absolutely useful,Useful,Useful,Useful,Useful,Absolutely useful,Absolutely useful,Useful,NOT useful,Useful,Useful,NOT useful,Useful,NOT useful,Useful,Useful,NOT useful,Useful,Useful,Useful,Useful,Useful,Useful,Useful,Frequent service calls should use persistent connections or be replaced by topics.,[frequent calls with persistent connections],G41,Frequent messages should be exchanged either via services with persistent connections or publish operations on given topics  ,"reliability, maintainability, computational efficiency","Reliability,Maintainability,Performance",,,ANONYMIZED,Yes,,,
16/09/2019 11:49:16,1,Between 2 and 5,I develop ROS-based systems for a company,C,Useful,NOT useful,Absolutely NOT useful,Absolutely NOT useful,Absolutely useful,Absolutely useful,Absolutely useful,Absolutely NOT useful,Absolutely useful,Absolutely NOT useful,Don't know,Absolutely useful,Absolutely useful,Absolutely useful,Absolutely useful,Absolutely useful,Absolutely useful,Absolutely useful,Don't know,Absolutely useful,NOT useful,Absolutely useful,Absolutely useful,Absolutely useful,Don't know,Absolutely useful,Absolutely useful,Useful,Absolutely useful,Absolutely useful,Absolutely useful,Absolutely NOT useful,Useful,Absolutely useful,Absolutely useful,Absolutely useful,Absolutely useful,Absolutely useful,Absolutely useful,,,,,"Performance, portability, reliability","Performance,Portability,Reliability",,,ANONYMIZED,Yes,,,
